Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Days_Since_Update,Size_MB
GAME,3.8,4116,100000,Free,0,Everyone,Action,3698,8.8
GAME,3.9,1995,500000,Free,0,Teen,Action,2662,92.0
FAMILY,5.0,10,500,Free,0,Everyone,Entertainment,3007,5.8
FAMILY,4.3,21,1000,Free,0,Everyone,Entertainment,2826,2.5
GAME,4.1,29798,1000000,Free,0,Mature 17+,Action,3146,80.0
SPORTS,4.5,2710,100000,Free,0,Everyone,Sports,2880,4.8
LIBRARIES_AND_DEMO,4.1,3781,1000000,Free,0,Everyone,Libraries & Demo,2741,36.0
COMMUNICATION,4.1,55098,1000000,Free,0,Everyone,Communication,2675,4.3
GAME,4.3,13788,1000000,Free,0,Everyone,Arcade,3120,55.0
FAMILY,4.5,13,1000,Free,0,Everyone,Education,2887,13.0
FAMILY,4.0,97,10000,Free,0,Everyone,Education,3394,3.9
DATING,3.7,101,10000,Free,0,Mature 17+,Dating,2641,15.0
PARENTING,4.5,76795,1000000,Free,0,Everyone,Parenting,2633,18.0
GAME,4.3,798522,100000000,Free,0,Everyone 10+,Arcade,2688,57.0
GAME,3.8,4719,500000,Free,0,Everyone,Action,2657,54.0
GAME,4.2,685450,100000000,Free,0,Everyone,Arcade,2711,37.0
MEDICAL,4.9,57,1000,Free,0,Everyone,Medical,3627,6.1
FAMILY,4.1,242722,10000000,Free,0,Teen,Role Playing,2656,54.0
FAMILY,4.9,11,5000,Free,0,Everyone,Entertainment,2779,4.3
SPORTS,4.4,1690802,50000000,Free,0,Everyone,Sports,2705,58.0
GAME,4.6,12,50,Free,0,Everyone,Arcade,2999,18.0
FAMILY,4.3,429,100000,Free,0,Everyone,Educational,2646,40.0
DATING,4.5,212626,10000000,Free,0,Mature 17+,Dating,2634,11.0
GAME,4.5,4447388,100000000,Free,0,Everyone 10+,Adventure;Action & Adventure,2634,67.0
PERSONALIZATION,4.6,484981,10000000,Free,0,Everyone,Personalization,3244,2.1
TOOLS,4.4,24265,1000000,Free,0,Everyone,Tools,3005,3.3
GAME,5.0,11,10,Free,0,Everyone,Arcade,3141,6.1
TOOLS,2.8,44,10000,Free,0,Everyone,Tools,2675,41.0
TOOLS,4.6,351267,10000000,Free,0,Everyone,Tools,2806,5.0
DATING,4.4,12632,1000000,Free,0,Mature 17+,Dating,2638,29.0
GAME,4.4,4396,100000,Free,0,Everyone,Trivia,3109,40.0
BOOKS_AND_REFERENCE,4.0,459,50000,Free,0,Everyone,Books & Reference,2891,3.1
BOOKS_AND_REFERENCE,4.6,7,1000,Free,0,Everyone,Books & Reference,2768,12.0
LIFESTYLE,5.0,2,100,Free,0,Everyone,Lifestyle,2971,22.0
AUTO_AND_VEHICLES,3.7,4806,1000000,Free,0,Everyone,Auto & Vehicles,2634,35.0
FAMILY,4.0,576210,50000000,Free,0,Everyone,Casual,4438,48.0
FINANCE,4.3,5905,500000,Free,0,Everyone,Finance,2638,50.0
FAMILY,4.2,419375,10000000,Free,0,Everyone 10+,Casual,3404,31.0
TOOLS,3.5,382,100000,Free,0,Everyone,Tools,2811,3.1
BOOKS_AND_REFERENCE,4.4,8788,1000000,Free,0,Everyone,Books & Reference,2637,10.0
PRODUCTIVITY,3.0,5,100,Paid,$4.99,Everyone,Productivity,4265,7.0
GAME,3.7,31883,1000000,Free,0,Teen,Action,3129,20.0
PRODUCTIVITY,2.8,160,10000,Free,0,Everyone,Productivity,2638,7.6
COMMUNICATION,4.3,1133539,10000000,Free,0,Everyone,Communication,3485,4.7
PRODUCTIVITY,4.6,122424,5000000,Free,0,Everyone,Productivity,2771,4.7
PHOTOGRAPHY,4.4,635846,50000000,Free,0,Everyone,Photography,2703,14.0
AUTO_AND_VEHICLES,4.3,348,100000,Free,0,Everyone,Auto & Vehicles,2636,38.0
FAMILY,3.9,12,1000,Free,0,Everyone,Entertainment,2673,3.5
FAMILY,4.9,707,10000,Free,0,Everyone,Entertainment,2811,6.0
BUSINESS,2.4,29,500,Free,0,Everyone,Business,2660,16.0
FAMILY,4.8,3390,100000,Free,0,Everyone,Education,2935,9.2
LIFESTYLE,3.9,987,10000,Free,0,Everyone,Lifestyle,2970,4.5
VIDEO_PLAYERS,3.6,1522,100000,Free,0,Everyone,Video Players & Editors,2648,65.0
FAMILY,5.0,4,100,Free,0,Everyone,Education,2745,5.8
MEDICAL,5.0,4,5,Free,0,Everyone,Medical,2631,2.5
COMMUNICATION,4.4,552635,10000000,Free,0,Everyone,Communication,2633,29.0
NEWS_AND_MAGAZINES,3.7,24,5000,Free,0,Everyone,News & Magazines,3584,10.0
FINANCE,4.6,459,10000,Paid,$18.99,Everyone,Finance,2798,2.0
FAMILY,4.5,354454,10000000,Free,0,Everyone,Racing;Action & Adventure,2663,71.0
FAMILY,3.6,135,10000,Free,0,Everyone 10+,Role Playing,2694,75.0
FAMILY,4.5,9876369,100000000,Free,0,Everyone,Casual,2662,99.0
BUSINESS,3.0,2,100,Free,0,Everyone,Business,3080,17.0
COMMUNICATION,4.5,115,5000,Free,0,Everyone,Communication,3380,2.8
TOOLS,4.3,77717,5000000,Free,0,Everyone,Tools,3213,14.0
GAME,3.8,270687,10000000,Free,0,Teen,Racing,2645,38.0
SPORTS,3.7,84,1000,Paid,$2.99,Everyone,Sports,2739,6.3
FAMILY,4.6,19640,100000,Free,0,Teen,Simulation,2708,67.0
GAME,4.6,144,1000,Paid,$6.99,Everyone,Adventure,2711,6.3
TRAVEL_AND_LOCAL,4.5,103,1000,Free,0,Everyone,Travel & Local,2635,9.8
TOOLS,4.6,16936,1000000,Free,0,Everyone,Tools,2821,5.0
FOOD_AND_DRINK,4.6,42,100,Free,0,Teen,Food & Drink,2647,3.9
FAMILY,4.7,12948,1000000,Free,0,Everyone,Casual;Brain Games,2702,23.0
MEDICAL,4.9,26,1000,Free,0,Everyone,Medical,3266,6.1
HEALTH_AND_FITNESS,4.1,2469,100000,Free,0,Everyone,Health & Fitness,4103,3.6
NEWS_AND_MAGAZINES,4.2,23291,1000000,Free,0,Everyone 10+,News & Magazines,2702,14.0
PERSONALIZATION,4.7,10786,500000,Free,0,Mature 17+,Personalization,2706,9.4
PRODUCTIVITY,4.0,8985,1000000,Free,0,Everyone,Productivity,3195,5.7
GAME,4.3,137696,5000000,Free,0,Mature 17+,Word,2646,55.0
FINANCE,4.5,166,10000,Free,0,Everyone,Finance,2839,3.5
GAME,4.2,5449,500000,Free,0,Everyone 10+,Action,3320,20.0
FINANCE,4.4,31,1000,Paid,$3.99,Everyone,Finance,2650,0.201171875
AUTO_AND_VEHICLES,4.0,1981,100000,Free,0,Everyone,Auto & Vehicles,2633,18.0
MAPS_AND_NAVIGATION,3.5,106,5000,Free,0,Everyone,Maps & Navigation,2656,24.0
FINANCE,4.0,26,1000,Free,0,Everyone,Finance,3062,3.6
HEALTH_AND_FITNESS,4.4,20547,1000000,Free,0,Everyone,Health & Fitness,2878,5.7
GAME,4.4,452589,10000000,Free,0,Mature 17+,Action,2664,99.0
SOCIAL,4.6,12111,500000,Free,0,Everyone,Social,2723,9.1
FAMILY,4.5,166886,10000000,Free,0,Everyone 10+,Education,2636,21.0
COMMUNICATION,4.0,6,1000,Free,0,Everyone,Communication,2652,4.2
PERSONALIZATION,4.3,26601,1000000,Free,0,Everyone,Personalization,2649,5.4
SPORTS,4.5,2943,100000,Free,0,Everyone,Sports,2711,8.1
TOOLS,4.7,175,10000,Free,0,Everyone,Tools,2637,4.3
LIFESTYLE,4.6,518,50000,Free,0,Everyone,Lifestyle,3127,4.2
SOCIAL,3.8,108,10000,Free,0,Teen,Social,2698,2.8
GAME,4.6,408292,10000000,Paid,$0.99,Mature 17+,Action,2653,29.0
TOOLS,4.1,14,1000,Free,0,Everyone,Tools,2859,3.8
GAME,3.0,49,5000,Free,0,Everyone,Trivia,2907,7.1
DATING,4.4,35205,1000000,Free,0,Everyone,Dating,2705,7.2
TOOLS,4.1,295,50000,Free,0,Everyone,Tools,2782,3.8
FINANCE,3.1,72,10000,Free,0,Everyone,Finance,2802,2.4
GAME,4.4,5566908,100000000,Free,0,Everyone,Arcade,2702,97.0
TOOLS,3.8,131,1000,Paid,$5.99,Everyone,Tools,3145,3.3
TRAVEL_AND_LOCAL,4.4,49190,1000000,Free,0,Everyone,Travel & Local,2680,25.0
WEATHER,4.5,2332,500000,Free,0,Teen,Weather,2631,20.0
SPORTS,4.2,1008012,50000000,Free,0,Everyone,Sports,2872,13.0
PERSONALIZATION,4.2,35,500,Paid,$1.49,Everyone,Personalization,2730,5.2
PHOTOGRAPHY,4.4,3158047,100000000,Free,0,Everyone,Photography,2634,53.0
FAMILY,4.3,10,100,Paid,$12.99,Everyone,Simulation,2630,20.0
LIFESTYLE,5.0,10,1000,Free,0,Everyone,Lifestyle,2702,21.0
GAME,3.4,13,1000,Free,0,Everyone,Racing,3304,27.0
BOOKS_AND_REFERENCE,4.4,47,1000,Paid,$3.08,Everyone,Books & Reference,3429,1.4
LIFESTYLE,4.4,16637,1000000,Free,0,Everyone,Lifestyle,3042,10.0
LIFESTYLE,4.7,113,1000,Free,0,Everyone,Lifestyle,3303,20.0
FAMILY,4.0,1130,100000,Free,0,Teen,Educational,2711,77.0
TRAVEL_AND_LOCAL,3.4,39,1000,Paid,$2.56,Everyone,Travel & Local,4471,32.0
BUSINESS,4.0,13,1000,Free,0,Everyone,Business,2932,5.7
FAMILY,4.3,726,5000,Paid,$4.99,Everyone,Simulation,3233,19.0
PHOTOGRAPHY,4.5,3378,1000000,Free,0,Mature 17+,Photography,2640,30.0
ENTERTAINMENT,4.2,32458,5000000,Free,0,Everyone,Entertainment,2676,18.0
FAMILY,4.0,660613,50000000,Free,0,Everyone,Simulation,3151,21.0
NEWS_AND_MAGAZINES,2.9,61,10000,Free,0,Everyone,News & Magazines,3179,4.1
FINANCE,3.5,805,50000,Free,0,Everyone,Finance,2648,6.5
FAMILY,4.6,66,10000,Free,0,Everyone,Educational;Education,2790,17.0
BUSINESS,4.0,1,100,Free,0,Everyone,Business,3137,5.4
TOOLS,2.7,198,100000,Free,0,Everyone,Tools,4195,2.8
PERSONALIZATION,4.7,229,500000,Free,0,Everyone,Personalization,2703,1.1
FAMILY,4.4,450013,10000000,Free,0,Everyone,Puzzle,2654,37.0
HEALTH_AND_FITNESS,3.5,217,50000,Free,0,Teen,Health & Fitness,2976,9.4
PHOTOGRAPHY,4.6,847159,10000000,Free,0,Everyone,Photography,2897,4.2
GAME,4.2,640974,50000000,Free,0,Everyone,Racing,2690,47.0
FAMILY,4.2,5,50,Paid,$1.49,Everyone,Puzzle,4167,40.0
GAME,4.3,955614,10000000,Free,0,Teen,Action,2669,82.0
BUSINESS,4.1,13,100,Free,0,Everyone,Business,2733,3.8
GAME,4.3,8119154,500000000,Free,0,Everyone,Action,2660,62.0
MEDICAL,4.4,7,1000,Free,0,Everyone,Medical,2826,8.9
NEWS_AND_MAGAZINES,4.2,61692,10000000,Free,0,Everyone,News & Magazines,2640,27.0
FAMILY,4.6,19,500,Free,0,Everyone,Entertainment,3349,1.6
SPORTS,4.1,91935,10000000,Free,0,Everyone,Sports,2730,39.0
SOCIAL,5.0,5,5,Free,0,Everyone,Social,2630,1.8
GAME,3.8,898,100000,Free,0,Teen,Adventure,3221,33.0
SHOPPING,4.3,85,50000,Free,0,Everyone,Shopping,2669,2.9
BUSINESS,4.2,100,10000,Free,0,Everyone,Business,2644,6.3
FAMILY,4.5,226,100000,Free,0,Everyone,Education;Education,3061,26.0
NEWS_AND_MAGAZINES,4.5,53,10000,Free,0,Teen,News & Magazines,2676,5.9
AUTO_AND_VEHICLES,4.5,189,10000,Free,0,Everyone,Auto & Vehicles,2662,16.0
MEDICAL,3.7,3,500,Free,0,Everyone,Medical,2702,7.3
MAPS_AND_NAVIGATION,4.7,4501,100000,Free,0,Teen,Maps & Navigation,2640,26.0
GAME,4.6,169661,10000000,Free,0,Everyone,Arcade,2633,40.0
COMMUNICATION,3.5,11,1000,Free,0,Everyone,Communication,2639,5.2
SPORTS,4.3,148083,10000000,Free,0,Everyone,Sports,2641,57.0
FAMILY,4.2,580,10000,Free,0,Everyone,Entertainment,4684,2.1
FINANCE,4.7,3661,50000,Free,0,Everyone,Finance,2683,14.0
ENTERTAINMENT,3.7,197774,10000000,Free,0,Mature 17+,Entertainment,2670,44.0
FAMILY,3.0,2,100,Free,0,Everyone,Simulation,2647,33.0
TOOLS,4.0,593,100000,Free,0,Everyone,Tools,2744,3.3
TRAVEL_AND_LOCAL,4.3,15680,1000000,Free,0,Everyone,Travel & Local,2659,11.0
AUTO_AND_VEHICLES,3.2,250,100000,Free,0,Everyone,Auto & Vehicles,2729,1.1
EDUCATION,4.2,240,10000,Free,0,Everyone,Education,3823,29.0
FAMILY,4.4,3397,50000,Paid,$3.99,Everyone,Casual;Pretend Play,3964,9.5
PERSONALIZATION,5.0,1,100,Paid,$0.99,Everyone,Personalization,2679,60.0
VIDEO_PLAYERS,3.5,54,10000,Free,0,Everyone,Video Players & Editors,4560,0.181640625
LIFESTYLE,4.7,57,10000,Free,0,Everyone,Lifestyle,2950,5.8
TOOLS,4.7,3696,50000,Free,0,Everyone,Tools,2989,29.0
PHOTOGRAPHY,4.4,1490722,50000000,Free,0,Everyone,Photography,2646,21.0
GAME,4.5,14201604,100000000,Free,0,Everyone,Sports,2634,52.0
FAMILY,3.5,35337,5000000,Free,0,Teen,Entertainment,2701,7.4
FAMILY,3.8,7462,1000000,Free,0,Everyone,Education;Music & Video,2799,31.0
LIBRARIES_AND_DEMO,4.6,2580,100000,Free,0,Everyone,Libraries & Demo,2779,20.0
TRAVEL_AND_LOCAL,4.4,24281,1000000,Free,0,Everyone,Travel & Local,2640,29.0
VIDEO_PLAYERS,3.8,1156,100000,Free,0,Everyone,Video Players & Editors,3649,23.0
GAME,4.5,1375988,50000000,Free,0,Everyone,Board,2688,15.0
TRAVEL_AND_LOCAL,4.6,14,1000,Free,0,Everyone,Travel & Local,2744,4.0
BOOKS_AND_REFERENCE,4.3,1476,100000,Free,0,Everyone,Books & Reference,3159,41.0
FAMILY,4.6,5227,500000,Free,0,Everyone,Education,3618,1.9
PARENTING,4.5,806,500000,Free,0,Everyone,Parenting,2630,11.0
ENTERTAINMENT,4.1,29690,1000000,Free,0,Teen,Entertainment,2631,78.0
GAME,4.4,3697174,50000000,Free,0,Teen,Action,2641,36.0
DATING,4.0,6191,500000,Free,0,Mature 17+,Dating,2653,27.0
FOOD_AND_DRINK,4.2,3755,100000,Free,0,Everyone,Food & Drink,2645,8.5
TOOLS,3.4,3491,1000000,Free,0,Everyone,Tools,2634,7.3
MEDICAL,4.5,11,1000,Free,0,Everyone,Medical,2829,25.0
BUSINESS,3.8,203,10000,Free,0,Everyone,Business,3303,5.9
FAMILY,4.2,720685,10000000,Free,0,Teen,Role Playing,2674,51.0
FINANCE,4.6,106,10000,Free,0,Everyone,Finance,2768,4.4
BOOKS_AND_REFERENCE,4.1,9636,1000000,Free,0,Everyone,Books & Reference,5138,0.0908203125
NEWS_AND_MAGAZINES,4.3,37882,1000000,Free,0,Teen,News & Magazines,2694,9.1
PRODUCTIVITY,4.2,182,50000,Free,0,Everyone,Productivity,2728,7.0
GAME,4.6,87766,1000000,Paid,$4.99,Everyone,Action,3376,12.0
FAMILY,4.5,530904,10000000,Free,0,Everyone,Simulation;Action & Adventure,3013,51.0
TOOLS,4.6,85496,1000000,Free,0,Everyone,Tools,2801,5.8
LIBRARIES_AND_DEMO,3.8,912,500000,Free,0,Everyone,Libraries & Demo,2837,13.0
FAMILY,4.8,1491,50000,Free,0,Everyone,Education,2907,38.0
FINANCE,3.8,103,5000,Free,0,Everyone,Finance,2654,6.9
PERSONALIZATION,4.1,585,50000,Free,0,Everyone,Personalization,2675,4.4
FAMILY,3.8,1652,100000,Free,0,Everyone,Simulation,2654,71.0
HOUSE_AND_HOME,4.8,3167,100000,Free,0,Everyone,House & Home,2631,7.5
HEALTH_AND_FITNESS,4.8,787,1000,Paid,$1.99,Everyone,Health & Fitness,2634,53.0
FAMILY,3.9,168,5000,Free,0,Everyone,Simulation,3033,6.4
FAMILY,4.6,50060,1000000,Free,0,Everyone,Puzzle;Brain Games,2627,98.0
FAMILY,4.1,89,5000,Paid,$4.49,Everyone,Education;Education,2874,33.0
MAPS_AND_NAVIGATION,4.3,14110,1000000,Free,0,Everyone,Maps & Navigation,2641,6.8
ENTERTAINMENT,4.2,123279,10000000,Free,0,Everyone 10+,Entertainment;Music & Video,2822,25.0
GAME,3.9,24697,500000,Free,0,Teen,Action,3751,16.0
FAMILY,4.6,15301,100000,Paid,$2.99,Everyone,Puzzle;Brain Games,2647,18.0
SPORTS,3.4,1845,100000,Free,0,Everyone,Sports,3053,12.0
NEWS_AND_MAGAZINES,4.7,327,10000,Free,0,Everyone,News & Magazines,2669,31.0
COMMUNICATION,4.1,20901,1000000,Free,0,Everyone,Communication,2753,7.3
MEDICAL,3.9,31,1000,Free,0,Everyone,Medical,3562,10.0
BOOKS_AND_REFERENCE,4.2,459,10000,Free,0,Everyone,Books & Reference,3302,11.0
FAMILY,4.2,20,5000,Free,0,Everyone,Education,3208,1.6
LIFESTYLE,4.6,51357,5000000,Free,0,Everyone,Lifestyle,2634,80.0
SHOPPING,4.5,32014,500000,Free,0,Everyone,Shopping,2631,18.0
EDUCATION,4.4,33646,1000000,Free,0,Everyone,Education,2650,7.0
ENTERTAINMENT,4.3,1633682,100000000,Free,0,Everyone,Entertainment,2662,57.0
FAMILY,3.1,1734,500000,Free,0,Everyone,Strategy,3417,5.8
FAMILY,4.5,85,10000,Free,0,Everyone,Entertainment,2760,25.0
TRAVEL_AND_LOCAL,4.2,1291,50000,Free,0,Everyone,Travel & Local,2920,40.0
VIDEO_PLAYERS,4.0,46,5000,Free,0,Everyone,Video Players & Editors,3832,3.1
TOOLS,4.3,246,100000,Free,0,Everyone,Tools,2809,2.8
FAMILY,4.7,13,500,Free,0,Everyone,Entertainment,3452,1.2
GAME,4.5,32344,1000000,Paid,$0.99,Everyone,Adventure,3282,29.0
NEWS_AND_MAGAZINES,4.7,143,5000,Paid,$0.99,Mature 17+,News & Magazines,2639,26.0
FAMILY,4.1,235486,10000000,Free,0,Teen,Entertainment,2694,63.0
FAMILY,3.9,46,10000,Paid,$2.99,Everyone,Puzzle,2817,20.0
MEDICAL,4.4,578,10000,Paid,$0.99,Everyone,Medical,3973,0.6875
PERSONALIZATION,4.5,43,10000,Free,0,Everyone,Personalization,2761,28.0
PRODUCTIVITY,3.9,162,10000,Free,0,Everyone,Productivity,2712,5.0
FAMILY,4.2,108795,10000000,Free,0,Everyone,Educational;Pretend Play,2680,49.0
HEALTH_AND_FITNESS,4.8,38,500,Free,0,Everyone,Health & Fitness,2655,24.0
GAME,3.4,32,1000,Paid,$0.99,Everyone 10+,Arcade,3129,27.0
SOCIAL,4.2,58341,1000000,Free,0,Everyone,Social,3736,9.3
FAMILY,4.0,8126,1000000,Free,0,Everyone,Entertainment;Brain Games,2634,61.0
LIFESTYLE,4.2,29756,1000000,Free,0,Everyone,Lifestyle,2646,45.0
FAMILY,3.9,2510,500000,Free,0,Everyone 10+,Educational,2646,48.0
NEWS_AND_MAGAZINES,4.3,25,1000,Free,0,Everyone,News & Magazines,2730,6.3
BOOKS_AND_REFERENCE,4.6,595,50000,Free,0,Everyone,Books & Reference,3397,8.5
SPORTS,4.1,3387,50000,Paid,$29.99,Everyone,Sports,2654,25.0
FAMILY,4.1,17,1000,Free,0,Everyone,Strategy,2771,50.0
FAMILY,4.4,129542,1000000,Free,0,Everyone,Strategy;Creativity,2642,63.0
FAMILY,5.0,1,10,Free,0,Everyone,Education;Education,2799,49.0
PRODUCTIVITY,4.3,3252896,100000000,Free,0,Everyone,Productivity,2632,50.0
PRODUCTIVITY,4.5,40328,1000000,Free,0,Everyone,Productivity,3286,23.0
GAME,4.5,10393,1000000,Free,0,Everyone,Arcade,2654,18.0
FAMILY,4.1,1626,100000,Free,0,Everyone 10+,Simulation,2660,96.0
PRODUCTIVITY,5.0,1,100,Free,0,Everyone,Productivity,2709,4.2
EVENTS,4.5,8800,1000000,Free,0,Everyone,Events,2648,24.0
MAPS_AND_NAVIGATION,4.1,41,1000,Free,0,Everyone,Maps & Navigation,2661,25.0
GAME,4.6,10979062,100000000,Free,0,Everyone 10+,Action,2663,88.0
SOCIAL,4.6,4046,100000,Free,0,Teen,Social,2652,63.0
FAMILY,4.2,233588,5000000,Free,0,Teen,Simulation,3100,74.0
EDUCATION,4.7,61749,1000000,Free,0,Everyone,Education,2852,5.4
SPORTS,4.4,15221,1000000,Free,0,Everyone,Sports,2936,30.0
MEDICAL,5.0,3,100,Free,0,Everyone,Medical,2640,22.0
TOOLS,4.3,269,50000,Free,0,Everyone,Tools,4807,0.6318359375
GAME,4.3,180,5000,Free,0,Everyone,Action,2649,24.0
GAME,4.1,8608,500000,Free,0,Teen,Casino,2709,46.0
NEWS_AND_MAGAZINES,4.6,62740,500000,Free,0,Mature 17+,News & Magazines,2679,8.6
SPORTS,4.5,1526,50000,Free,0,Everyone,Sports,2627,89.0
GAME,4.6,8778,100000,Free,0,Teen,Music,2844,36.0
PRODUCTIVITY,4.1,10676,1000000,Free,0,Everyone,Productivity,2703,12.0
GAME,4.7,171448,10000000,Free,0,Teen,Puzzle,2631,13.0
TOOLS,4.1,9496,1000000,Free,0,Everyone,Tools,4192,0.6796875
SHOPPING,4.4,7793,500000,Free,0,Everyone,Shopping,2809,6.1
SHOPPING,4.5,104068,5000000,Free,0,Teen,Shopping,2633,37.0
VIDEO_PLAYERS,4.2,1971777,100000000,Free,0,Teen,Video Players & Editors,2715,29.0
GAME,3.5,901,50000,Free,0,Everyone,Adventure,2687,63.0
MEDICAL,4.0,2,100,Free,0,Everyone,Medical,3080,29.0
PHOTOGRAPHY,4.3,14453,1000000,Free,0,Everyone,Photography,2774,21.0
TOOLS,4.6,2674051,50000000,Free,0,Everyone,Tools,2628,26.0
NEWS_AND_MAGAZINES,4.5,12,5000,Free,0,Everyone,News & Magazines,2812,2.9
PERSONALIZATION,4.5,4,50,Free,0,Everyone,Personalization,3211,0.4990234375
COMICS,3.0,28447,1000000,Free,0,Teen,Comics,2634,15.0
TRAVEL_AND_LOCAL,4.1,134,10000,Free,0,Everyone,Travel & Local,2675,5.3
PERSONALIZATION,4.0,30498,1000000,Free,0,Everyone,Personalization,3872,5.9
DATING,3.5,894,100000,Free,0,Mature 17+,Dating,2648,14.0
LIFESTYLE,4.4,95557,10000000,Free,0,Everyone,Lifestyle,2642,16.0
SOCIAL,4.6,22098,1000000,Free,0,Everyone,Social,2641,18.0
TOOLS,4.6,2176,100000,Free,0,Everyone,Tools,2633,0.9306640625
BUSINESS,4.2,2359,10000,Paid,$2.99,Everyone,Business,3530,2.7
PERSONALIZATION,4.4,47393,10000000,Free,0,Everyone,Personalization,2702,7.2
SPORTS,4.1,556,10000,Free,0,Everyone,Sports,2639,3.3
COMMUNICATION,4.5,5474,100000,Paid,$3.99,Everyone,Communication,4292,0.0166015625
PHOTOGRAPHY,3.8,4813,100000,Free,0,Everyone,Photography,3498,5.1
FAMILY,4.5,41,5000,Free,0,Everyone,Simulation,2833,30.0
FAMILY,4.2,31,5000,Free,0,Everyone,Simulation,2683,35.0
FAMILY,4.3,96,10000,Free,0,Everyone,Casual,3157,54.0
TOOLS,4.2,5,100,Paid,$1.49,Everyone,Tools,2635,2.5
FINANCE,4.4,2017,100000,Free,0,Everyone,Finance,2639,2.4
FAMILY,3.9,139,50000,Free,0,Everyone,Education,2649,4.8
GAME,3.8,8175,1000000,Free,0,Everyone 10+,Arcade,2843,31.0
PERSONALIZATION,4.7,273994,10000000,Free,0,Everyone,Personalization,2642,12.0
HEALTH_AND_FITNESS,4.5,38487,1000000,Free,0,Teen,Health & Fitness,2662,60.0
BOOKS_AND_REFERENCE,3.4,1680,100000,Free,0,Everyone,Books & Reference,3344,4.0
FAMILY,5.0,3,50,Free,0,Everyone,Entertainment,2761,0.150390625
FAMILY,4.0,3,100,Free,0,Everyone,Education,3166,5.3
MEDICAL,4.4,2159,10000,Free,0,Everyone,Medical,2709,11.0
FAMILY,3.7,126,10000,Free,0,Everyone,Casual,2677,45.0
DATING,4.5,61637,5000000,Free,0,Mature 17+,Dating,2634,11.0
FINANCE,3.9,10657,1000000,Free,0,Everyone,Finance,2632,58.0
MEDICAL,4.6,2014,50000,Free,0,Everyone,Medical,2631,69.0
FINANCE,3.8,109,10000,Free,0,Everyone,Finance,3010,2.8
SOCIAL,4.7,594,1000,Free,0,Everyone,Social,2646,3.6
DATING,3.5,13202,1000000,Free,0,Mature 17+,Dating,2658,6.1
COMMUNICATION,3.9,138129,10000000,Free,0,Everyone,Communication,2720,2.1
PERSONALIZATION,4.8,24,1000,Free,0,Everyone,Personalization,2631,3.6
TOOLS,4.6,1092,100000,Free,0,Everyone,Tools,4859,0.185546875
MEDICAL,4.2,33,1000,Paid,$3.99,Everyone,Medical,2718,53.0
SOCIAL,5.0,3,50,Free,0,Teen,Social,2654,2.4
DATING,3.9,10212,1000000,Free,0,Mature 17+,Dating,2640,5.0
BUSINESS,4.0,2,10,Free,0,Everyone,Business,2829,3.3
FINANCE,3.9,730,10000,Free,0,Everyone,Finance,2669,6.3
FAMILY,4.1,7046,500000,Free,0,Everyone 10+,Puzzle,2926,87.0
PERSONALIZATION,4.5,2,100,Free,0,Everyone,Personalization,2856,3.0
PERSONALIZATION,4.5,164,10000,Free,0,Everyone,Personalization,2646,33.0
SOCIAL,4.1,309872,10000000,Free,0,Teen,Social,2631,85.0
DATING,4.7,18,500,Free,0,Mature 17+,Dating,2640,5.0
FAMILY,4.7,417197,10000000,Free,0,Everyone 10+,Role Playing,2696,99.0
FAMILY,4.5,81001,1000000,Free,0,Everyone,Puzzle,2729,85.0
BUSINESS,4.6,70,1000,Free,0,Everyone,Business,3900,14.0
DATING,3.5,13204,1000000,Free,0,Mature 17+,Dating,2658,6.1
GAME,4.6,3073251,50000000,Free,0,Everyone 10+,Action,2640,33.0
FINANCE,4.7,19784,100000,Paid,$2.99,Everyone,Finance,2682,7.3
GAME,4.0,103199,10000000,Free,0,Teen,Action,2632,44.0
PERSONALIZATION,4.9,88,1000,Paid,$0.99,Everyone,Personalization,2639,66.0
FAMILY,3.3,40,1000,Free,0,Everyone,Entertainment,3076,3.6
FAMILY,4.2,2231,500000,Free,0,Everyone,Entertainment,2642,37.0
FAMILY,3.3,279,10000,Free,0,Everyone,Education,2852,14.0
AUTO_AND_VEHICLES,4.5,276,100000,Free,0,Everyone,Auto & Vehicles,3025,1.7
COMICS,3.9,834,50000,Free,0,Mature 17+,Comics,2633,15.0
FAMILY,4.5,3323,1000000,Free,0,Everyone,Casual;Pretend Play,3016,9.6
GAME,4.4,201426,5000000,Free,0,Teen,Action,2632,80.0
FAMILY,4.4,4064868,100000000,Free,0,Everyone 10+,Strategy,2659,69.0
GAME,4.0,59223,5000000,Free,0,Teen,Action,2669,46.0
EDUCATION,4.8,4075,500000,Free,0,Everyone,Education,2673,5.1
HEALTH_AND_FITNESS,3.2,499,100000,Free,0,Everyone,Health & Fitness,2655,34.0
SOCIAL,4.5,17350,500000,Free,0,Everyone,Social,2647,12.0
PERSONALIZATION,4.7,12089,500000,Free,0,Everyone,Personalization,2662,27.0
FAMILY,4.6,20267,1000000,Free,0,Everyone,Educational;Education,2649,46.0
FAMILY,4.6,47,5000,Free,0,Everyone,Simulation,2633,3.3
PHOTOGRAPHY,4.1,7479,1000000,Free,0,Everyone,Photography,2740,13.0
TRAVEL_AND_LOCAL,4.5,289,10000,Free,0,Everyone,Travel & Local,2774,9.8
